gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat 
Female,1,0,0,151.0,58,72,4,3,1,4,5,6
Female,1,1,1,162.0,60,68,5,2,5,5,1,4
Female,1,0,4,162.0,75,78,3,1,5,2,5,4
Female,1,0,0,154.0,45,91,0,4,4,0,3,2
Female,1,2,1,154.0,50,65,5,3,5,5,3,2
Female,1,2,0,159.0,66,82,4,2,5,5,1,3
Female,1,2,0,160.0,66,74,3,3,5,5,5,6
Female,1,0,2,163.0,66,73,4,2,5,5,1,6
Female,1,0,3,154.0,60,89,4,3,5,5,5,6
Female,1,0,2,160.0,77,87,2,3,5,4,0,3
Female,1,0,2,175.0,68,91,5,2,5,5,5,3
Female,1,2,0,165.0,75,81,5,2,2,3,0,6
Female,1,0,3,158.0,53,89,4,2,5,5,5,4
Female,1,2,0,155.0,63,79,3,1,5,3,2,4
Female,1,0,2,154.0,80,83,3,3,5,5,1,3
Male,1,0,3,166.0,80,78,5,0,5,3,0,4
Female,1,0,2,159.0,57,74,3,2,5,3,1,4
Female,1,0,2,157.0,55,74,3,2,5,5,2,3
Male,1,0,1,165.0,57,78,5,2,5,5,5,4
Female,1,0,0,156.0,90,78,5,1,5,5,2,4
Male,2,0,1,175.0,90,73,5,1,5,3,2,8
Female,2,2,2,161.0,68,76,4,2,5,5,1,1
Male,2,2,2,168.0,83,85,4,2,5,5,1,1
Male,1,0,4,168.0,90,73,3,2,4,5,0,3
Female,2,3,1,156.0,56,77,3,2,5,3,0,4
Male,2,3,2,170.0,70,74,3,2,5,3,0,4
Female,1,0,0,162.0,58,67,4,3,5,5,0,3
Male,2,4,5,172.0,80,68,5,3,5,5,5,5
Female,1,1,1,165.0,75,69,4,3,5,5,5,3
Male,2,0,2,171.0,81,71,4,2,5,5,5,3
Female,2,0,1,160.0,54,67,4,4,5,3,2,4
Male,2,0,3,176.0,82,76,3,3,3,5,5,6
Male,2,0,3,164.0,53,69,5,3,5,5,1,5
Female,2,1,2,156.0,58,67,5,3,5,5,5,3
Female,1,0,2,153.0,70,69,5,0,5,5,3,5
Male,2,1,0,159.0,70,85,3,1,5,4,5,1
Male,2,0,5,170.0,60,74,4,2,5,5,5,1
Male,3,0,0,178.0,87,78,3,2,4,3,2,1
Male,2,1,2,172.0,86,73,2,5,5,5,1,4
Male,2,0,3,186.0,95,74,4,3,5,5,5,4
Female,2,0,3,168.0,77,69,4,3,5,5,5,4
Male,1,0,0,181.0,94,71,3,2,5,3,5,5
Male,1,0,1,172.0,62,85,5,3,5,5,0,5
Male,2,0,0,160.0,55,70,5,3,5,5,5,2
Female,2,0,0,155.0,50,73,5,1,5,5,0,3
Male,2,0,1,172.0,81,74,5,1,5,5,0,3
Female,2,0,2,160.0,62,77,3,2,3,5,0,4
Female,1,0,1,158.0,51,69,5,1,5,5,1,4
Female,1,0,2,160.0,49,76,3,3,5,5,3,4
Female,1,0,0,164.0,70,79,3,3,4,5,0,5
Female,2,0,3,153.0,60,65,3,3,3,4,3,4
Male,2,0,4,169.0,68,66,3,3,1,4,1,4
Female,1,2,1,165.0,65,85,5,5,5,5,3,5
Male,1,0,2,166.0,66,90,3,2,5,3,0,3
Male,1,0,3,176.0,85,75,5,5,5,2,0,2
Male,2,0,2,180.0,79,78,1,3,5,5,1,1
Male,1,0,2,174.0,75,87,3,3,5,5,5,1
Female,1,0,2,160.0,60,88,3,1,5,3,0,3
Female,1,0,1,160.0,67,89,3,4,3,5,1,4
Male,2,0,0,188.0,82,70,4,3,5,4,0,3
Female,2,2,0,160.0,83,71,3,3,5,4,3,6
Male,2,0,2,179.0,67,76,5,2,5,3,3,2
Female,2,2,1,157.0,57,72,5,2,1,5,5,4
Male,2,0,2,188.0,96,88,3,3,5,5,0,2
Male,1,0,3,174.0,74,68,3,5,5,5,5,5
Male,1,0,2,173.0,75,72,5,3,5,3,5,1
Female,1,0,3,160.0,60,78,4,3,5,3,1,6
Female,1,0,2,150.0,55,67,5,2,5,5,0,3
Male,2,4,1,170.0,76,76,4,3,5,4,1,4
Male,2,0,3,180.0,90,68,5,3,5,5,5,4
Female,2,0,2,152.0,60,69,5,3,5,4,1,4
Male,2,0,3,162.0,74,67,5,3,5,4,2,4
Female,2,1,2,152.0,64,66,5,3,3,5,5,3
Male,2,0,2,165.0,90,79,5,2,5,5,5,5
Female,2,0,0,154.0,42,78,3,2,2,5,1,5
Male,2,0,1,173.0,80,74,3,3,4,5,5,5
Female,2,0,5,153.0,59,71,4,3,5,5,5,5
Female,2,0,1,175.0,50,77,3,4,5,5,4,2
Male,2,0,0,177.0,63,78,3,4,5,5,0,2
Male,2,0,3,172.0,79,78,4,2,5,5,1,3
Female,2,4,1,167.0,70,75,4,2,5,5,1,3
Female,2,0,2,155.0,52,67,3,1,5,4,0,4
Female,1,0,0,162.0,58,74,3,2,1,5,0,4
Female,1,0,2,156.0,54,76,4,2,5,5,3,4
Female,1,2,0,152.0,44,73,3,3,5,0,5,2
Female,1,3,0,156.0,58,72,3,4,5,5,0,5
Female,2,0,2,160.0,62,78,3,3,4,5,4,4
Male,2,0,2,170.0,69,84,3,0,4,5,0,4
Female,2,4,0,164.0,80,65,3,2,3,3,1,5
Female,1,2,0,160.0,53,71,3,3,5,5,0,3
Male,2,0,0,175.0,75,70,3,3,5,5,3,3
Female,1,0,2,161.0,56,71,4,3,4,5,5,2
Female,2,0,2,168.0,70,69,4,3,5,4,5,2
Male,2,0,2,175.0,85,77,4,3,5,4,5,2
Male,1,0,2,186.0,85,74,2,4,5,5,0,5
Male,2,0,2,176.0,75,86,4,2,4,5,0,4
Female,2,0,2,158.0,73,79,4,2,4,5,0,4
Female,1,0,4,167.0,69,71,5,4,5,5,5,5
Male,2,3,0,186.0,63,72,4,3,5,4,4,3
Female,2,3,0,165.0,67,70,4,3,5,4,5,3
Female,2,0,2,168.0,69,66,3,3,5,5,5,1
Female,1,0,2,156.0,57,68,4,2,4,4,3,2
Female,1,0,0,164.0,90,68,3,2,3,2,1,4
Female,1,1,1,163.0,45,74,4,3,5,5,5,6
Male,1,0,0,170.0,77,72,4,4,5,1,5,4
Male,1,0,0,172.0,74,73,4,1,5,3,5,4
Female,1,4,0,162.0,51,78,5,1,5,4,5,4
Female,1,2,1,163.0,75,89,3,3,5,5,1,2
Male,2,0,2,178.0,80,67,5,3,2,3,3,4
Female,1,0,2,148.0,50,87,5,2,5,5,5,4
Female,2,2,0,155.0,71,81,5,2,1,5,1,4
Male,2,2,0,168.0,65,70,5,2,1,5,1,4
Female,1,0,0,165.0,60,77,5,3,5,5,5,4
Male,2,0,0,163.0,71,86,4,2,4,5,5,3
Female,2,0,0,154.0,50,78,4,2,4,5,5,3
Female,1,0,1,163.0,61,70,5,1,2,5,5,4
Female,2,9,0,159.0,68,74,4,3,2,5,0,7
Male,2,2,1,181.0,76,78,4,3,5,5,5,5
Female,2,4,1,154.0,53,76,4,3,5,5,5,5
Male,2,0,2,172.0,75,76,3,4,5,5,1,5
Female,2,2,0,163.0,58,67,2,4,5,5,3,5
Female,1,1,1,158.0,42,67,1,2,5,2,5,3
Female,1,0,3,150.0,56,77,4,2,2,5,0,3
Female,1,0,2,153.0,48,72,3,3,4,4,4,4
Male,2,0,1,170.0,55,74,5,2,5,5,1,1
Female,2,2,3,164.0,54,75,5,3,5,5,1,2
Male,2,2,3,165.0,64,78,5,3,5,5,1,2
Female,1,0,2,151.0,38,66,4,4,5,5,5,2
Male,2,0,1,172.0,78,84,3,3,5,5,1,4
Female,2,0,2,153.0,64,82,3,2,5,5,1,4
Male,1,0,1,173.0,75,80,4,3,5,4,2,5
Male,2,0,3,188.0,75,75,5,3,5,5,5,4
Female,2,0,3,160.0,58,69,5,3,5,5,1,4
Male,2,0,3,174.0,73,69,4,3,5,5,5,4
Female,2,0,2,150.0,40,70,4,3,5,5,5,4
Female,1,0,2,168.0,63,69,3,3,4,5,1,3
Female,2,2,1,162.0,55,65,3,3,5,5,1,3
Female,1,10,1,158.0,63,75,5,2,5,5,5,4
Female,1,0,2,140.0,56,84,3,1,3,3,4,3
Male,1,0,3,172.0,74,81,5,1,5,5,3,2
Female,1,1,0,156.0,54,79,3,5,5,5,0,5
Female,3,0,0,160.0,60,76,4,3,5,2,2,4
Male,2,0,3,170.0,75,71,4,2,5,5,3,3
Female,2,2,0,165.0,69,77,5,2,5,5,1,3
Male,2,0,3,163.0,70,70,5,3,5,5,2,3
Female,2,0,3,160.0,50,70,3,2,5,5,1,3
Male,2,0,3,165.0,75,73,3,2,5,5,1,3
Female,2,0,3,156.0,53,71,5,1,5,5,0,4
Male,2,0,2,178.0,82,76,5,2,5,5,5,4
Female,2,0,4,160.0,75,69,4,2,2,5,1,3
Female,1,0,3,171.0,72,75,5,3,5,5,1,2
Female,3,0,1,156.0,64,80,3,3,5,5,1,1
Female,1,0,3,150.0,60,76,3,3,5,3,1,6
Female,1,0,4,162.0,53,65,4,3,5,5,5,2
Female,2,3,0,164.0,67,67,4,3,5,5,1,6
Male,2,0,2,178.0,66,70,4,3,5,5,1,6
Female,2,1,2,166.0,55,76,4,3,5,5,0,1
Female,1,0,3,151.0,60,72,3,3,5,5,1,4
Male,2,0,2,169.0,74,77,3,2,5,2,2,4
Female,2,0,0,155.0,45,73,3,3,5,5,0,2
Male,1,0,1,176.0,75,77,3,3,5,5,3,5
Male,1,0,5,171.0,74,70,5,2,0,3,2,1
Female,3,0,3,165.0,75,73,3,3,5,5,1,4
Male,2,4,0,176.0,82,66,3,3,5,5,0,5
Female,1,1,1,158.0,55,85,3,3,3,4,3,3
Female,1,0,3,153.0,69,72,3,3,1,4,2,5
Female,1,0,2,155.0,64,78,2,0,5,3,0,3
Female,1,0,2,155.0,65,82,4,4,5,1,0,6
Female,1,0,0,169.0,60,75,3,3,5,4,2,6
Female,1,2,0,148.0,60,73,3,1,3,4,3,4
Female,1,0,0,156.0,52,72,4,2,0,5,5,4
Male,3,0,2,166.0,92,79,5,2,5,5,0,8
Female,1,0,5,155.0,57,69,2,1,2,4,5,4
Female,3,2,1,154.0,78,66,4,3,3,5,0,4
Male,1,0,3,164.0,78,75,3,3,5,5,0,5
Male,2,0,2,175.0,56,75,5,3,5,5,1,8
Female,2,0,2,162.0,71,73,5,3,5,5,0,8
Female,2,0,1,158.0,65,69,2,2,5,5,5,3
Female,2,0,3,154.0,51,76,4,3,5,5,0,4
Female,1,0,2,160.0,70,72,5,3,5,5,0,3
Female,1,0,2,163.0,72,72,5,3,5,5,0,3
Female,2,0,1,152.0,53,78,3,2,5,5,3,4
Female,1,0,1,163.0,62,68,3,3,3,5,0,6
Female,1,3,1,170.0,61,83,1,5,5,5,5,5
Male,2,0,1,182.0,74,75,3,3,5,4,2,6
Female,2,2,1,163.0,68,70,3,3,5,4,2,6
Male,2,0,2,170.0,75,74,3,3,5,4,1,2
Female,2,6,0,158.0,62,75,3,3,5,4,0,2
Male,2,0,2,182.0,90,66,5,2,5,3,1,5
Female,3,1,0,164.0,64,77,5,3,5,5,4,5
Female,1,0,2,156.0,68,72,3,3,5,3,1,1
Male,2,0,2,172.0,91,73,2,4,5,4,1,5
Male,2,0,2,162.0,75,65,4,2,4,5,1,3
Female,2,0,1,150.0,48,73,5,3,5,5,5,4
Female,1,2,1,160.0,65,81,4,3,4,5,4,3
Female,1,0,2,152.0,54,69,3,3,5,3,4,2
Male,1,0,2,165.0,54,70,3,3,5,2,1,2
Female,2,0,3,155.0,63,71,4,3,5,5,0,4
Male,2,0,2,168.0,67,73,4,3,5,5,0,4
Female,3,0,1,154.0,63,74,5,2,5,5,0,6
Male,2,0,0,176.0,74,72,3,3,5,3,3,1
Female,1,3,1,154.0,53,71,3,1,3,1,4,3
Male,1,0,2,168.0,67,69,3,3,5,5,1,3
Female,2,0,1,163.0,61,66,2,2,5,3,4,6
Male,2,0,1,177.0,80,74,2,2,5,3,4,6
Male,2,4,2,168.0,73,67,2,4,5,3,0,5
Female,1,0,2,171.0,65,76,3,3,5,5,5,5
Female,1,5,1,160.0,62,84,3,3,4,5,5,2
Female,1,0,3,168.0,64,84,3,3,5,3,5,5
Female,1,2,2,160.0,48,78,5,3,5,5,3,4
Male,2,4,1,177.0,67,76,4,5,1,5,0,3
Female,3,0,2,160.0,80,71,3,3,4,4,1,2
Male,2,0,3,165.0,76,80,5,1,5,5,1,5
Female,2,1,0,157.0,80,79,5,1,5,5,1,4
Male,2,0,1,176.0,73,66,4,3,5,5,1,5
Female,2,0,1,151.0,48,66,4,3,4,5,5,5
Female,2,0,5,153.0,53,69,4,3,5,5,1,5
Female,2,2,0,165.0,64,75,4,3,5,4,5,5
Male,2,0,0,171.0,85,73,4,3,5,4,1,5
Male,2,0,5,167.0,76,82,3,3,5,4,5,6
Female,2,2,1,157.0,58,77,3,3,5,4,5,6
Female,1,0,1,160.0,73,74,4,3,5,5,1,6
Female,2,0,3,163.0,62,68,4,3,4,4,1,3
Male,2,0,2,170.0,74,71,4,3,4,4,1,3
Female,1,0,2,154.0,45,77,4,3,3,5,3,5
Female,2,2,0,159.0,63,69,3,3,5,5,1,4
